id,product_id,disliked_id
812,2147,2
813,2163,2
814,2163,13
815,2163,7
816,2163,0
817,2168,2
818,2168,13
819,2169,2
820,2169,13
821,2179,2
822,2179,6
823,2179,13
824,2182,2
825,2182,10
826,2182,13
827,2183,2
828,2183,13
829,2183,19
830,2184,2
831,2187,2
832,2187,7
833,2187,13
834,2187,19
835,2187,6
836,2187,0
837,2188,2
838,2188,10
839,2188,13
840,2188,19
841,2190,2
842,2190,13
843,2190,6
844,2190,7
845,2190,0
846,2190,14
847,2191,2
848,2191,7
849,2191,13
850,2191,6
851,2191,19
852,2192,2
853,2192,13
854,2192,7
855,2195,2
856,2195,13
857,2195,6
858,2197,2
859,2197,13
860,2197,0
861,2197,6
862,2197,7
863,2197,19
864,2200,2
865,2200,13
866,2200,19
867,2207,2
868,2207,6
869,2209,2
870,2209,6
871,2209,13
872,2209,7
873,2220,2
874,2220,6
875,2220,13
876,2220,0
877,2220,10
878,2226,2
879,2226,11
880,2226,13
881,2226,19
882,2226,7
883,2234,2
884,2234,13
885,2234,19
886,2241,2
887,2241,12
888,2241,13
889,2241,0
890,2242,2
891,2242,10
892,2242,13
893,2247,2
894,2250,2
895,2250,13
896,2250,7
897,2250,19
898,2250,6
899,2251,2
900,2251,13
901,2251,7
902,2251,19
903,2251,0
904,2251,6
905,2253,2
906,2253,6
907,2253,13
908,2253,0
909,2270,2
910,2270,12
911,2270,13
912,2270,14
913,2270,20
914,2272,2
915,2272,10
916,2272,13
917,2272,11
918,2273,2
919,2273,13
920,2275,2
921,2275,13
922,2275,11
923,2279,2
924,2279,13
925,2279,7
926,2279,19
927,2282,2
928,2282,13
929,2284,2
930,2284,13
931,2284,7
932,2284,19
933,2286,2
934,2286,14
935,2286,13
936,2288,2
937,2288,0
938,2288,7
939,2292,2
940,2292,15
941,2292,11
942,2292,13
943,2292,0
944,2295,2
945,2296,2
946,2296,6
947,2296,13
948,2297,2
949,2297,13
950,2297,6
951,2297,0
952,2297,14
953,2297,20
954,2297,7
955,2303,2
956,2303,13
957,2303,0
958,2305,2
959,2305,13
960,2305,10
961,2306,2
962,2306,10
963,2306,13
964,2306,0
965,2307,2
966,2307,13
967,2307,7
968,2307,19
969,2308,2
970,2308,13
971,2308,7
972,2308,6
973,2308,0
974,2310,2
975,2310,10
976,2310,13
977,2310,7
978,2312,2
979,2312,11
980,2312,13
981,2312,7
982,2312,15
983,2315,2
984,2315,10
985,2315,7
986,2315,13
987,2315,6
988,2315,19
989,2315,0
990,2317,2
991,2317,13
992,2317,7
993,2317,19
994,2318,2
995,2318,13
996,2318,7
997,2318,0
998,2318,6
999,2324,2
1000,2324,7
1001,2324,13
1002,2324,6
1003,2324,19
1004,2326,2
1005,2326,13
1006,2326,7
1007,2326,6
1008,2327,2
1009,2327,7
1010,2331,2
1011,2331,11
1012,2331,13
1013,2331,7
1014,2331,19
1015,2333,2
1016,2333,6
1017,2333,13
1018,2333,7
1019,2334,2
1020,2334,7
1021,2334,13
1022,2335,2
1023,2335,7
1024,2335,13
1025,2336,2
1026,2336,7
1027,2336,13
1028,2337,2
1029,2337,13
1030,2337,7
1031,2338,2
1032,2338,13
1033,2338,7
1034,2340,2
1035,2340,10
1036,2340,13
1037,2340,6
1038,2340,0
1039,2341,2
1040,2341,10
1041,2341,13
1042,2341,19
1043,2341,6
1044,2341,0
1045,2342,2
1046,2342,10
1047,2342,19
1048,2343,2
1049,2343,13
1050,2347,2
1051,2347,13
1052,2349,2
1053,2349,7
1054,2352,2
1055,2352,13
1056,2352,0
1057,2352,11
1058,2355,2
1059,2355,13
1060,2355,7
1061,2356,2
1062,2356,7
1063,2356,13
1064,2356,6
1065,2356,0
1066,2357,2
1067,2357,7
1068,2357,13
1069,2358,2
1070,2358,13
1071,2358,7
1072,2358,6
1073,2358,0
1074,2361,2
1075,2361,15
1076,2361,13
1077,2361,0
1078,2361,6
1079,2449,2
1080,2449,13
1081,2453,13
1082,2453,0
1083,2456,2
1084,2456,13
1085,2456,0
1086,2456,5
1087,2460,2
1088,2460,0
1089,2460,15
1090,2460,11
1091,2460,13
1092,2460,18
1093,2461,2
1094,2461,0
1095,2461,13
1096,2469,2
1097,2469,13
1098,2469,0
1099,2474,2
1100,2474,0
1101,2474,13
1102,2480,2
1103,2480,0
1104,2483,0
1105,2486,2
1106,2486,13
1107,2489,2
1108,2489,0
1109,2489,13
1110,2490,2
1111,2491,2
1112,2491,13
1113,2496,2
1114,2496,7
1115,2496,13
1116,2496,10
1117,2503,2
1118,2503,0
1119,2504,7
