기존,전처리
닭고기(가슴살:국내산)88%,닭고기
유기농보라당근농축액(보라당근즙으로11.05%),유기농보라당근농축액
산수유분말(국산),산수유분말
배터프리믹스-4,배터프리믹스
α-토코페롤(혼합형) ·[유산균(락토바실러스아시도필러스,α토코페롤 
주정,주정
합성착향료(카라멜향,합성착향료
오자농축액,오자농축액
오미분말{(현미,오미분말
케익분말[밀가루(수입산),케익분말
 합성착향료(바닐라향)], 합성착향료
분말레시틴(대두),분말레시틴
탄산마그네슘],탄산마그네슘
바인덱스[(폴리인산나트륨,바인덱스
파스타조미분말,파스타조미분말
볶음양념맛씨즈닝4.1%(아스파탐(합성감미료,볶음양념맛씨즈닝
굴추출농축액70.2%[굴농축액P26.35%{굴추출액61.34%(12brix기준/굴:국산)},굴추출농축액
코코아매스(일본산),코코아매스
타기토스 99.5%,타기토스 
알긴산나트륨등],알긴산나트륨등
감자61%(중국산),감자
파프리카색소,파프리카색소
천연자몽향,천연자몽향
벌꿀3%,벌꿀
황다랑어36.2%(원양산),황다랑어
프랑스 등)76%,프랑스 등
국산),국산
무농약우리밀빵가루[무농약우리밀(국산),무농약우리밀빵가루
녹차추출물(고형분함량50%)②오렌지:이소말토올리고당,녹차추출물②오렌지이소말토올리고당
돼지고기81.17%(국산),돼지고기
돼지고기(국내산)14.196%,돼지고기
헤젤넛트페이스트,헤젤넛트페이스트
자일라나아제),자일라나아제
카카오버터(콜롬비아산)15%,카카오버터
혼합문유(네덜란드산),혼합문유
" 조미액50%
ㆍ유부 - 대두95.29%(외국산: 미국ㆍ호주ㆍ캐나다등)"," 조미액
ㆍ유부  대두"
덱스트린 ·특정성분 함량 및 원산지:짜장풍미유 중 올리브유 5%(이탈리아산)함유,덱스트린 특정성분 함량 및 원산지짜장풍미유 중 올리브유 함유
 카레분말0.12%[전문점용카레(카레분:일본산), 카레분말
야채우린육수[야채우린국물{양배추(국산),야채우린육수
 유화제}. 스프류/국수육수베이스, 유화제 스프류국수육수베이스
 초콜릿10.53% [코코아매스, 초콜릿 
 옥배유(옥수수배아:외국산)40%, 옥배유
절임알타리무63.75%[알타리무98%(국산),절임알타리무
사과잼[물엿,사과잼
쵸코칩(외국산:말레이시아,쵸코칩
 프로필렌글리콜), 프로필렌글리콜
요구르트혼합분말,요구르트혼합분말
룰레콘데라홍차추출액[(고형분1%이상),룰레콘데라홍차추출액
전란,전란
고구마0.5%(생물함량기준),고구마
(고춧가루40%,
L-글리타민산나트륨(향미증진제)1%,L글리타민산나트륨
돈지방(무항생제/국내산)3.25%,돈지방
진사골엑기스-SW(사골:호주산),진사골엑기스SW
천일염(호주산60.6%,천일염
생강(국내산)0.5%,생강
호박산나트륨*건더기-볶은미역(1.8g):구운미역칩(미역/국산)91.63%,호박산나트륨건더기볶은미역구운미역칩
블루베리(캐나다산)12%,블루베리
혼합분유2(탈지분,혼합분유
초코향,초코향
 갓/부추, 갓부추
행미증진제,행미증진제
건브로클리후레이크,건브로클리후레이크
 비프베이스분말, 비프베이스분말
밀:미국산)정제소금(국산),밀미국산정제소금
 고춧가루1%(중국산)], 고춧가루
돼지고기(국내산/사태)94.34%,돼지고기
아일랜드산),아일랜드산
정백당]2%,정백당
천연솔잎향,천연솔잎향
 올리브유 5%(스페이산), 올리브유 
과자{밀가루(밀:미국산,과자밀가루
자몽농축과즙0.97%(자몽과즙으로7%,자몽농축과즙
 난소화성말토덱스트린0.2%, 난소화성말토덱스트린
식빵가루[밀가루(밀:미국산,식빵가루
청정원순후추(흑후추:수입산),청정원순후추
옥분(옥수수:세르비아,옥분
 새우풍미유, 새우풍미유
 조제겨자클래식옐로우20%[미국산/식초, 조제겨자클래식옐로우
찹쌀풀[찹쌀(국산)],찹쌀풀
훈연가다랭어농축액(가쓰오부시분말:인도네시아산),훈연가다랭어농축액
 유기농 소맥 31%(아르헨티나산:ARGENCERT인증), 유기농 소맥 
 복합 조미식품(쇠고기맛본다시), 복합 조미식품
덱스트림),덱스트림
(조제해수염화마그네슘)],
스위트콘파우더,스위트콘파우더
 완두콩퓨레, 완두콩퓨레
감자전분2%(외국산:네덜라드,감자전분
 코코아프리퍼레이션 프랑스산, 코코아프리퍼레이션 프랑스산
올반키친 진한황태육수베이스,올반키친 진한황태육수베이스
김치22.78%[배추(국산),김치
김치31.69%[포기김치50%{배추(국산),김치
건조크랜베리쟈니바이트RF(미국산:크랜베리,건조크랜베리쟈니바이트RF
부침가루[밀가루,부침가루
 토스티드갈릭파우더20.4%(미국산/마늘100%), 토스티드갈릭파우더
음료베이스(클래식유자),음료베이스
코코아매스(스페인산),코코아매스
아몬드분말(아몬드;미국산),아몬드분말
5-구아닐산이나트륨(향미증진제)연육75%(외국산),구아닐산이나트륨연육
원매실차진액,원매실차진액
녹차귀리밥-정제수,녹차귀리밥정제수
다시마액기스3%,다시마액기스
파인애플농축액(고형분함량60%),파인애플농축액
유산균]5%,유산균
 들기름9.9%, 들기름
 밀단백추출물, 밀단백추출물
효소처리스테비아(천연감미료) *스프:정제소금(국산),효소처리스테비아 스프정제소금
파인소프트-씨[히드록시프로필인산이전분,파인소프트씨
 유기농설탕], 유기농설탕
쇠고기함유 죽스프:김50%(국산),쇠고기함유 죽스프김
 유기농검정깨(국산)1%, 유기농검정깨
 베베톳[톳(국산) 69.49%, 베베톳 
 정제염) ▶한국풍 간장소스 : 양조간장 17.7%{탈지대두(인도산), 정제염 한국풍 간장소스  양조간장 탈지대두
카라멜0.5%,카라멜
포도농축과즙액(포도/국산),포도농축과즙액
데침취나물17.5%{취나물(국산),데침취나물취나물
플레이버-엠이지0.51%[합성착향료(레몬향),플레이버엠이지
건빵가루(배합용)[밀가루(밀),건빵가루
계란흰자분말(프랑스산),계란흰자분말
가쓰오액상스프17.94%{양조간장[탈지대두(인도산),가쓰오액상스프양조간장
코코넛칩(필리핀산),코코넛칩
쇠고기6.7%(외국산:뉴질랜드,쇠고기
돼지고기73.09%{외국산(미국,돼지고기외국산
요구르트베이스(국산)2.5%[탈지분유(국산),요구르트베이스
치킨농축액,치킨농축액
 호박산이나트륨(향미증진제), 호박산이나트륨
합성향료(다크체리향),합성향료
국내산원유99.5%,국내산원유
토마토향미유,토마토향미유
돼지고기47.25%(국산),돼지고기
토마토케찹[토마토페이스트(중국산),토마토케찹
혼합제제(셀룰로오스검,혼합제제
 쌍노두소스(홍콩산), 쌍노두소스
가쓰오부시3.7%(일본산),가쓰오부시
페니알라닌함유),페니알라닌함유
뱅어90%,뱅어
 합성착향료(자몽향), 합성착향료
쌀조청[쌀(국내산92%,쌀조청
복숭아농축과즙(복숭아과즙으로2%,복숭아농축과즙
 당근분말(국산), 당근분말
간장[양조간장원액(대만),간장
한식간장),한식간장
L-시스틴] ●우리밀 야채 호빵:야채호빵소50.79%[양배추32.49%/국산,L시스틴 우리밀 야채 호빵야채호빵소
혼합제제2(프로필렌글리콜,혼합제제
덱스트린50%),덱스트린
대두단백(중국산),대두단백
 감마-노나락톤, 감마노나락톤
엘에스-300,엘에스
올레오리진갈릭,올레오리진갈릭
양파0.8%,양파
쌀(국산),쌀
우동엑기스,우동엑기스
 밀27%(미국산), 밀
천연첨가물(카로틴)*제주감귤꽃허니시럽:밀감꿀A(제주도산),천연첨가물제주감귤꽃허니시럽밀감꿀A
 당근농축액), 당근농축액
피로인산제이철},피로인산제이철
 녹차풍미유 *스프류 : 토마토페이스트, 녹차풍미유 스프류  토마토페이스트
옥수수전분 그외,옥수수전분 그외
사골엑기스분말,사골엑기스분말
참당귀뿌리,참당귀뿌리
 알파미분(쌀100%/국산), 알파미분
연한양조간장원액{정제수,연한양조간장원액정제수
키라기난],키라기난
합성착향료(스모크향),합성착향료
마리네이드,마리네이드
송편속고물(백태:99%미숙산),송편속고물
산양원유(국산)99.986%올리고당,산양원유올리고당
네덜란드산,네덜란드산
돼지고기(국내산)72.11%,돼지고기
{오징어엑기스P(오징어족(국산),오징어엑기스P
 강황(터메릭), 강황
멜로소이(두유가공품),멜로소이
쌀99.9%(수입산100%),쌀
구운보리새우우린육수[건보리새우효소분해액(건보리새우:중국산),구운보리새우우린육수
사과배소불고기양념[탈지대두(인도산),사과배소불고기양념
고추장72%{소맥분(밀:외국산),고추장소맥분
 레몬버베나(파라과이산), 레몬버베나
 합성향료(드링크향, 합성향료
절임우엉[중국산/우엉98%,절임우엉
동결건조파(대파,동결건조파
육계0.86%(중국산),육계
 가쓰오부시, 가쓰오부시
건토란대VF[건토란대(미얀마산),건토란대VF
피로인산나트륨),피로인산나트륨
식물성크림{물엿,식물성크림물엿
페파로니씨즈닝-케이[옥수수분말(옥수수:호주산)],페파로니씨즈닝케이
비타민D3혼합제제0.0004%(비타민D3,비타민D혼합제제
사과페이스트(사과과즙으로 2%,사과페이스트
 포도(칠레산), 포도
홍차추출분말(칠레산),홍차추출분말
 L-글루타민산나트륨(향미증진제)], L글루타민산나트륨
산분해간장{탈지대두(인도산)},산분해간장탈지대두
 카레분말(강황:인도산), 카레분말
고춧가루(국내산)3%,고춧가루
쌀가루(쌀:국산)31.2%,쌀가루
식물성후라잉오일,식물성후라잉오일
국내산22.22%),국내산
사과57%/국산,사과국산
 산조조절제, 산조조절제
황기0.16%,황기
향미베이스,향미베이스
 소맥분(밀: 미국산, 소맥분
농후크림발효유22%[우유(국산),농후크림발효유
이산화황(합성보존료)},이산화황
고추장[물엿,고추장
느타리버섯6.5%(국산),느타리버섯
다시육수(정제수,다시육수
돼지고기41.86[외국산81.8%(스페인,돼지고기
연두순,연두순
볶음고추분말-2(돼지고기),볶음고추분말
농축우유,농축우유
무스카토백포도청징농충액(칠레산),무스카토백포도청징농충액
소고기분말[L-글루타민산나트륨(향미증진제)],소고기분말
고형분함량4.1%],고형분함량
다시다쇠고기0.38%,다시다쇠고기
일식된장5.5%{대두(수입산),일식된장대두
글리세인에스테르],글리세인에스테르
밀가루22.66%(수입산),밀가루
 쇠고기 5.4%(국내산 한우), 쇠고기 
고형분함량72%),고형분함량
야자유40%,야자유
비프플레이버,비프플레이버
쇼트닝Ⅰ{팜스테아린유(말레이시아산:경화유),쇼트닝Ⅰ팜스테아린유
네덜란드 등)9%}30%]48.26%,네덜란드 등
건조분말당밀(사탕수수당밀,건조분말당밀
건고추100%(국산청양고추 100%),건고추
가수분해카제인단백질,가수분해카제인단백질
생강착즙액,생강착즙액
잉글리쉬애프터눈[트로피컬파이어{홍차(스리랑카산)95%,잉글리쉬애프터눈
향미증진제*황태국밥건더기(4.2g):볶은황태83.34%[구운황태칩93.63%(명태/러시아산),향미증진제황태국밥건더기볶은황태
기타각우품2,기타각우품
알로에베라겔즙액함유절편(알로에베라겔절편45%,알로에베라겔즙액함유절편
쿠민,쿠민
합성착향료(커피향,합성착향료
"[현미아몬드강정]
현미(국산)29.1%",
갈비추출물(외국산-미국,갈비추출물
혼합제제[옥수수유,혼합제제
헛개나무열매추출농축액0.11%(고형분52%이상,헛개나무열매추출농축액
 재첩육수(중국산)[재첩육수100%]37.7%, 재첩육수
흑임자(국산),흑임자
무염버터(우유)],무염버터
수입산)3%,수입산
사과농축액(사과과즙으로3%,사과농축액
흑후추분말 탕수육소스:백설탕,흑후추분말 탕수육소스백설탕
무농약현미(국산)100%,무농약현미
동치미맛엑기스3.0%[무즙23.70%(무:국산),동치미맛엑기스
코코아버터22.5%(싱가포르산),코코아버터
 치자그린BS(혼합제제:치자청색소, 치자그린BS
쌀눈복합페이스트2.64%(정제수,쌀눈복합페이스트
 야채우린액[마늘엑기스(마늘:국산), 야채우린액
스페인등)71%,스페인등
비프분말-D[L-글루타민산나트륨(향미증진제)],비프분말D
황다랑어50.3%(원양산:태평양),황다랑어
치카이트-GR{정제소금,치카이트GR정제소금
카피농축액,카피농축액
 ※ 이 제품은 난류,  이 제품은 난류
쌀 29.1%(국산),쌀 
돼지고기75.94%(수입산),돼지고기
유기농현미(국산)43%,유기농현미
간장베이스액(대두,간장베이스액
해바라기유[외국산(우크라이나,해바라기유
물엿4%,물엿
맛드림다시MF(대두),맛드림다시MF
닭고기[기계발골육(국산)]30.44%,닭고기
천연향신료(백후추분),천연향신료
말토게닉아밀라아제},말토게닉아밀라아제
 엘더베리색소, 엘더베리색소
밤호박퓨레12.1%(단호박100%,밤호박퓨레
 글리세린), 글리세린
프리드리에이취아이,프리드리에이취아이
돈갈비살(후레쉬국내산)2.3%,돈갈비살
유크림(국산),유크림
고형분함량4%],고형분함량
 풋콩 4.73%, 풋콩 
무69%(국산),무
드리이비타민D₃[비타민D₃,드리이비타민D₃
지미분(향미증진제),지미분
과라나추출분말,과라나추출분말
쌀24.2%(국산),쌀
 비프씨즈닝파우다NW8%(쇠고기3.56%/호주산), 비프씨즈닝파우다NW
치킨소스,치킨소스
*스프류:혼합간장[탈지대두(수입산),스프류혼합간장
비타민C0.35%,비타민C
 옥수수유(옥수수배아:외국산), 옥수수유
